PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	6.67354	1.48501	36.059	3.83221	-24.4842	12.1555	13.3485	16.3488	2.73706	0.149707	-0.0570876	-0.903033	0.0314215	-0.0323065	-0.480352	0.0176747	-0.0186462	0.0254329	0.0935888	0.573221	0.110327	0.644378	1.80217	0.01788	7.16254	0.733089	38.2323	4.06786	-26.3795	10.0187	15.0481	18.5229	-1.12365	0.201765	-0.0794958	-1.12197	0.0497545	-0.0526039	-0.594192	0.0306432	-0.0342366	0.0386932	0.0624895	0.618304	0.120187	1.70542	2.57474	0.0171375	5.62593	-1.26132	41.4931	4.06639	-26.3515	10.3994	17.5656	21.938	-3.5083	0.0786186	-0.111765	-1.52539	0.0761405	-0.060063	-0.795803	0.0417542	-0.0301519	0.0519809	-0.029183	0.698947	0.0948516	4.85965	1.9082	0.13617	5.8058	-5.78422	36.1977	-0.972231	-14.7061	15.0367	4.86251	17.6641	1.18507	0.105068	-0.033434	-0.870488	0.0510449	-0.0354111	-0.46421	0.0157694	-0.0224657	0.0327417	0.00687286	0.636879	0.15927	0.713716	1.75073	0.00108273	6.20783	-6.77728	38.9573	-0.702486	-17.5986	11.9241	6.15207	21.692	-4.34031	0.119138	-0.0217289	-1.1191	0.0908142	-0.0243221	-0.591504	0.0165371	-0.00101842	0.0470453	-0.0683968	0.644925	0.172112	1.4573	2.45574	0.0470467	6.89047	-6.69624	40.9343	-0.354477	-17.5721	10.4958	6.29612	23.3475	-3.87979	0.0948326	-0.0338121	-1.52377	0.148565	-0.01389	-0.797988	0.0210147	0.0170514	0.050977	-0.0704616	0.82416	0.139736	5.35377	1.84946	0.168354
1	7.11988	2.27559	35.6972	4.07941	-24.8418	14.2241	13.1815	16.2072	2.16705	0.300397	-0.0722156	-0.958802	0.105646	-0.0401524	-0.421259	0.0164118	-0.0262262	-0.0177238	0.0812774	1.82138	0.230801	0.608499	1.86189	-0.0400027	7.87623	1.33091	37.5332	4.12583	-26.3209	12.1443	15.1166	17.8012	-1.79652	0.351306	-0.100208	-1.14255	0.117161	-0.0718705	-0.494922	0.0219063	-0.0622708	-0.0371703	-0.0507566	2.03697	0.230327	1.50753	2.66163	-0.140752	6.33553	-0.817997	40.2546	4.21755	-26.2781	11.7512	17.3481	20.8082	-4.45966	0.244794	-0.125583	-1.49338	0.122399	-0.082976	-0.678288	0.0254072	-0.0729702	-0.0488851	-0.218867	2.08296	0.173455	4.58054	2.58639	-0.27485	6.12855	-4.72384	35.8925	-0.595496	-15.4319	17.2061	4.21469	16.9961	0.836207	0.215989	-0.0575474	-0.931141	0.0969563	-0.0583377	-0.360699	0.003298	-0.0465446	-0.00719057	-0.0845806	2.00966	0.330673	0.531172	1.70497	-0.113324	6.60648	-5.96622	38.3435	-0.472662	-18.1525	14.143	5.907	20.7022	-4.77857	0.222704	-0.0558037	-1.17118	0.124973	-0.0578442	-0.466813	-0.00250421	-0.0425376	-0.0201803	-0.294033	2.11507	0.371223	1.1925	2.30893	-0.155706	7.27209	-6.42777	39.637	-0.182173	-18.05	11.8554	5.76566	22.9626	-4.79305	0.229675	-0.0623121	-1.54046	0.171937	-0.0476972	-0.673284	-0.0184958	-0.0299491	-0.0485442	-0.316507	2.37748	0.289101	4.70706	2.59863	-0.192128
2	7.61133	2.99281	35.3303	4.46278	-24.6621	16.6613	12.428	15.8164	1.62511	0.445215	-0.0992241	-1.01075	0.227818	-0.0394056	-0.325402	0.0189738	-0.0236562	-0.0612685	0.0117391	3.75854	0.388865	0.464927	1.46249	-0.0882391	8.63073	1.83933	36.8673	4.24553	-25.856	14.6297	14.795	17.0425	-2.49501	0.497868	-0.133337	-1.1659	0.233765	-0.0857632	-0.356955	0.0215289	-0.0804866	-0.120623	-0.270761	4.24625	0.375302	1.16563	2.22887	-0.350707	7.19299	-0.42477	39.0185	4.34615	-25.833	13.5328	16.8612	19.493	-5.41017	0.416645	-0.149096	-1.45799	0.209827	-0.10234	-0.515644	0.0126616	-0.112357	-0.169662	-0.515984	4.16416	0.28092	4.00601	2.77517	-0.827851	6.49882	-3.80869	35.6694	-0.0999406	-15.5887	19.7944	2.86249	16.0695	0.563996	0.334827	-0.0963089	-0.973492	0.181666	-0.0776231	-0.197843	-0.0155446	-0.0721831	-0.0419977	-0.244393	4.13122	0.522347	0.315995	1.04245	-0.343437	7.0838	-5.29867	37.8334	-0.189549	-18.0634	16.7838	5.15583	19.3439	-5.05111	0.344023	-0.102497	-1.20574	0.199671	-0.0889108	-0.280386	-0.0231429	-0.0849979	-0.0893071	-0.644102	4.40115	0.613269	0.867059	1.47443	-0.452757	7.76242	-6.2033	38.4859	-0.0134967	-18.0315	13.7378	4.70237	22.0809	-5.59067	0.377812	-0.0991891	-1.54643	0.223779	-0.0793709	-0.491269	-0.0680609	-0.0821188	-0.161969	-0.694047	4.69725	0.470605	3.81944	2.62374	-0.839419
3	8.10176	3.6193	35.0373	5.07291	-23.8506	19.4278	10.9304	14.9751	1.46888	0.573771	-0.130548	-0.996745	0.397098	-0.0188541	-0.161711	0.0234771	0.000146765	-0.078505	-0.154774	6.19882	0.540716	0.101351	0.26235	0.0493155	9.33604	2.26624	36.315	4.56393	-24.9068	17.4202	13.8955	16.1055	-2.87271	0.643667	-0.170082	-1.14496	0.409604	-0.0768205	-0.155334	0.0325526	-0.0652939	-0.176583	-0.613125	7.09321	0.522219	0.564163	0.946727	-0.308929	8.11678	-0.0952277	37.8629	4.52929	-25.0253	15.7158	15.9924	18.1581	-6.14101	0.608796	-0.177925	-1.38846	0.357707	-0.104445	-0.29505	0.0104323	-0.12316	-0.27604	-0.922694	6.87132	0.403462	2.94578	2.21579	-1.08648	6.88406	-3.11947	35.5322	0.558419	-14.9589	22.6944	0.699847	14.6718	0.637031	0.438453	-0.139148	-0.929995	0.287559	-0.0838146	0.0477486	-0.0431843	-0.0971223	-0.04398	-0.482354	6.78242	0.640478	0.00122727	-0.431435	-0.687245	7.58364	-4.81484	37.4365	0.233229	-17.1935	19.7353	3.73135	17.5569	-4.92711	0.479149	-0.155417	-1.16843	0.312678	-0.105779	-0.0135379	-0.0427616	-0.118059	-0.125775	-1.09424	7.33546	0.819558	0.413355	-0.229319	-0.726636	8.31447	-6.05491	37.5181	0.213509	-17.4199	16.0663	3.06854	20.7438	-6.11953	0.545462	-0.140122	-1.49592	0.310522	-0.0988798	-0.233361	-0.119204	-0.127299	-0.252927	-1.20088	7.69041	0.643923	2.60658	1.6474	-1.49369
4	8.55349	4.15844	34.931	5.9542	-22.4034	22.551	8.67171	13.5904	2.04128	0.690649	-0.159518	-0.930083	0.592954	0.0242735	0.0642741	0.02256	0.0413829	-0.0373915	-0.411347	8.7433	0.612763	-0.432593	-1.92128	0.335457	9.91219	2.63857	35.9926	5.20852	-23.4086	20.529	12.2606	14.7944	-2.48675	0.790664	-0.204666	-1.0916	0.632407	-0.0365268	0.09864	0.0508071	-0.00971763	-0.155474	-1.02893	10.1506	0.614171	-0.237364	-1.50696	0.203282	9.00177	0.194323	36.9019	4.87741	-23.8472	18.3082	14.6335	16.8147	-6.27424	0.809107	-0.20812	-1.28631	0.562237	-0.0787488	-0.0211835	0.0211709	-0.0861595	-0.317391	-1.39817	9.89866	0.507991	1.48555	0.497076	-0.580841	7.25605	-2.69217	35.5183	1.36126	-13.5311	25.8625	-2.15075	12.7473	1.26712	0.504624	-0.166047	-0.82697	0.378803	-0.0715009	0.362285	-0.0864603	-0.126101	0.0151286	-0.780082	9.53988	0.565799	-0.382005	-2.71099	-1.22382	8.04772	-4.52978	37.1894	0.855325	-15.5102	22.9465	1.54699	15.2988	-4.16152	0.594788	-0.195968	-1.07585	0.434886	-0.0956579	0.31628	-0.0689671	-0.137887	-0.0863195	-1.56533	10.4901	0.861013	-0.10435	-2.8587	-1.0418	8.86664	-5.98339	36.7807	0.571284	-16.1659	18.7926	0.886377	18.9687	-6.14991	0.708259	-0.176834	-1.37112	0.418577	-0.0971453	0.0991649	-0.165053	-0.158336	-0.272812	-1.78796	11.0007	0.733676	1.20738	-0.60857	-1.87067
5	8.95419	4.60218	35.1169	7.03432	-20.4433	26.0676	5.86991	11.7572	3.4097	0.819371	-0.176004	-0.859546	0.776318	0.0852194	0.343304	0.00309853	0.0834665	0.0728774	-0.740498	10.9926	0.538852	-1.0438	-4.90172	0.314377	10.3205	2.97476	36.0141	6.21093	-21.375	23.9925	9.86932	13.0026	-1.10638	0.932752	-0.22504	-1.05176	0.856743	0.0345337	0.385354	0.0565913	0.0676908	-0.0322368	-1.4403	12.8754	0.582198	-1.12607	-5.09001	0.718307	9.74989	0.485778	36.2645	5.48282	-22.2803	21.3389	12.7301	15.3457	-5.45421	0.974845	-0.231645	-1.21115	0.784633	-0.0218944	0.273297	0.0369207	-0.00475488	-0.250348	-1.84409	12.7557	0.541737	0.0867336	-2.59315	0.473699	7.616	-2.52658	35.6821	2.1712	-11.5953	29.2806	-5.29709	10.5332	2.45261	0.585278	-0.1715	-0.740376	0.438833	-0.0488289	0.728879	-0.149642	-0.170154	0.136198	-1.14146	12.0117	0.294047	-0.837547	-5.60307	-2.04883	8.44385	-4.42802	37.1473	1.6399	-13.2107	26.4029	-1.29881	12.6976	-2.70728	0.679161	-0.203357	-0.984039	0.524134	-0.0567584	0.692885	-0.121027	-0.157345	0.0415787	-2.00962	13.3753	0.648363	-0.619065	-6.30871	-1.79232	9.36783	-5.96295	36.331	1.09572	-14.3186	21.8996	-1.74017	16.7925	-5.49698	0.817637	-0.194801	-1.23031	0.51057	-0.0713184	0.471644	-0.209286	-0.18284	-0.184896	-2.35804	14.0937	0.648404	-0.0579086	-4.09894	-2.17825
6	9.32732	4.90267	35.6379	8.09738	-18.2408	29.9392	2.96779	9.77669	5.33733	1.0248	-0.194794	-0.801906	0.9417	0.14262	0.694633	-0.0342621	0.104163	0.227648	-1.17746	12.7921	0.379285	-1.71192	-8.28201	-0.341965	10.5844	3.25606	36.4358	7.43351	-18.9784	27.7894	6.93748	10.8776	1.08328	1.11552	-0.233872	-1.01324	1.05878	0.118566	0.734065	0.0310353	0.130366	0.164457	-1.87729	14.9612	0.436611	-2.06412	-9.46603	0.428223	10.3038	0.812953	36.0568	6.35166	-20.3431	24.8044	10.3296	13.6427	-3.59916	1.10532	-0.241092	-1.19557	0.984905	0.0590677	0.579123	0.0396298	0.0899516	-0.0737535	-2.2168	15.0317	0.473459	-1.03743	-6.82336	1.03082	8.00161	-2.61292	36.056	2.77277	-9.63983	32.8872	-8.2003	8.48271	4.06458	0.766027	-0.19242	-0.734045	0.498368	-0.0421409	1.13135	-0.216101	-0.239319	0.296613	-1.55813	14.0482	-0.00217029	-1.46207	-8.67665	-2.99497	8.78489	-4.47767	37.3509	2.42751	-10.7495	30.0631	-4.46279	10.1315	-0.745132	0.813885	-0.198513	-0.933045	0.588768	-0.0159155	1.12207	-0.198831	-0.201067	0.228757	-2.45718	15.7259	0.277889	-1.15591	-10.2071	-3.16695	9.80032	-5.95466	36.2199	1.74012	-12.0868	25.3648	-4.60673	14.3619	-4.1479	0.876327	-0.184875	-1.14873	0.559413	-0.0296256	0.860657	-0.263859	-0.220046	0.00433558	-2.86296	16.557	0.376466	-1.07407	-8.44416	-3.01691
7	9.7119	4.98413	36.4421	8.88432	-16.1151	34.0235	0.451931	8.00785	7.52969	1.28479	-0.238694	-0.79857	1.08698	0.176158	1.10518	-0.0731003	0.0968574	0.397559	-1.68804	14.2501	0.258509	-2.41606	-11.3755	-1.404	10.771	3.42391	37.2091	8.61287	-16.5403	31.8009	3.89506	8.79767	3.66345	1.3685	-0.263556	-0.979456	1.24858	0.181788	1.16256	-0.0155703	0.150521	0.380232	-2.37085	16.466	0.301963	-2.90088	-13.8235	-0.799327	10.6625	1.17617	36.3113	7.37145	-18.1539	28.6156	7.61058	11.7585	-0.979409	1.27184	-0.251705	-1.18732	1.16416	0.139091	0.940653	0.0191488	0.154753	0.161163	-2.58536	16.6096	0.361723	-2.00777	-11.872	0.31973	8.45431	-2.93368	36.6113	3.01405	-8.05747	36.5492	-10.411	6.97457	6.00624	0.98634	-0.250477	-0.809926	0.562554	-0.0634677	1.54218	-0.268523	-0.326969	0.477409	-1.94672	15.7184	-0.161405	-2.21749	-11.3042	-3.77151	9.11581	-4.65803	37.7759	3.01923	-8.63415	33.8177	-7.44531	8.06823	1.53093	1.01686	-0.224246	-0.971895	0.650699	-0.00959737	1.57619	-0.277244	-0.283167	0.440407	-2.87294	17.554	-0.0520603	-1.73104	-13.6355	-4.77419	10.1812	-5.9347	36.4506	2.38106	-9.81984	29.1059	-7.4173	11.9766	-2.24044	0.967297	-0.177934	-1.155	0.59111	-0.00343163	1.27073	-0.323488	-0.291724	0.247943	-3.30365	18.2955	0.0549302	-1.96462	-13.0347	-4.57672
8	10.1179	4.78845	37.3835	9.22513	-14.2288	38.0971	-1.34658	6.63329	9.81408	1.50235	-0.304824	-0.86313	1.19073	0.186648	1.53222	-0.101419	0.0735788	0.571281	-2.14494	15.5942	0.22529	-2.95546	-13.4259	-2.47202	10.939	3.40653	38.1693	9.49239	-14.3339	35.8348	1.22802	7.10416	6.31889	1.6132	-0.325052	-0.998376	1.41058	0.211743	1.62888	-0.0627463	0.1348	0.583369	-2.83351	17.6818	0.266339	-3.43103	-16.8843	-2.39107	10.8653	1.53184	36.9475	8.35634	-15.9203	32.597	4.86872	9.90991	1.98309	1.50166	-0.292111	-1.17017	1.33866	0.19032	1.37306	-0.0147135	0.16877	0.395188	-2.97952	17.6705	0.315466	-2.60545	-16.9815	-1.33223	8.97327	-3.43202	37.2448	2.88656	-6.93316	40.0876	-11.7318	6.07358	8.2036	1.16119	-0.337259	-0.891395	0.623283	-0.102391	1.94548	-0.302062	-0.415741	0.667166	-2.22785	17.1733	-0.135847	-2.7305	-13.0468	-4.30494	9.47649	-4.96271	38.304	3.28377	-7.11321	37.4942	-9.78848	6.75867	4.03494	1.21401	-0.29047	-1.07438	0.708313	-0.0422916	2.01995	-0.337953	-0.389545	0.657884	-3.16974	19.0502	-0.213267	-2.21859	-15.8052	-6.02551	10.538	-5.91762	36.9348	2.88268	-7.85749	32.9581	-9.84969	9.98469	0.0701998	1.1105	-0.207434	-1.2442	0.633329	-0.0156665	1.68954	-0.373451	-0.397441	0.500992	-3.63798	19.4832	-0.156707	-2.6608	-16.9308	-6.33145
9	10.5071	4.31017	38.2502	9.0715	-12.5285	41.8929	-2.34829	5.59614	12.1025	1.64582	-0.37858	-0.933892	1.24703	0.18763	1.95143	-0.11706	0.0499571	0.74705	-2.43897	16.9935	0.259774	-2.92912	-13.9897	-3.34264	11.1003	3.14745	39.0662	9.89152	-12.3904	39.6582	-0.709744	5.87854	8.92343	1.78591	-0.403213	-1.04907	1.52071	0.219057	2.09127	-0.0981274	0.105683	0.771716	-3.14414	18.9102	0.324559	-3.27075	-17.7289	-3.8042	10.9576	1.80459	37.7651	9.12281	-13.8137	36.5292	2.44537	8.31375	4.96923	1.71826	-0.361959	-1.1713	1.49039	0.209773	1.84074	-0.0501274	0.146536	0.599727	-3.33342	18.5273	0.377305	-2.56325	-20.7847	-3.10152	9.50565	-4.00752	37.8077	2.49441	-6.09941	43.3244	-12.2493	5.56072	10.5342	1.27522	-0.432125	-0.923323	0.677172	-0.140462	2.33271	-0.322419	-0.490323	0.858251	-2.38258	18.5274	0.0252803	-2.61672	-13.6488	-4.73808	9.87495	-5.3809	38.7516	3.18199	-6.07364	40.8944	-11.2514	6.09677	6.69387	1.36453	-0.384209	-1.1428	0.758235	-0.0962126	2.44201	-0.375976	-0.496912	0.874512	-3.30187	20.4094	-0.178794	-2.31548	-16.3647	-6.73954	10.879	-5.94947	37.485	3.14991	-6.35142	36.7024	-11.6459	8.59468	2.67507	1.25126	-0.274331	-1.3593	0.684343	-0.0595419	2.09478	-0.408164	-0.514639	0.74209	-3.80561	20.3887	-0.184571	-2.75877	-19.2513	-7.665
